date,customer id,salary range,age,children,gender,Q1,Q2,Q3,Q4,Q5,Q6
5/17/2018,152300,25000,29,1,F,5,5,2,1,5,5
5/12/2018,152301,35000,33,0,M,5,2,1,4,2,2
5/15/2018,152306,30000,23,1,M,2,5,3,1,1,3
5/21/2018,152307,35000,46,1,F,1,5,2,3,1,2
5/18/2018,152308,45000,41,2,F,4,5,2,4,1,1
5/17/2018,152309,45000,50,0,F,1,2,4,1,1,2
5/19/2018,152310,40000,25,1,M,4,2,2,4,4,2
5/10/2018,152311,45000,31,0,M,3,3,5,2,1,1
5/14/2018,152312,45000,21,1,M,5,5,1,4,1,5
5/22/2018,152313,25000,25,0,M,3,1,4,2,5,3
5/10/2018,152316,40000,39,2,F,5,5,2,4,5,5
5/14/2018,152317,30000,35,0,F,2,4,5,2,5,2
5/21/2018,152318,25000,38,0,M,5,4,5,3,1,5
5/15/2018,152319,45000,21,0,F,1,2,3,3,4,5
5/14/2018,152320,35000,33,1,F,1,4,5,2,3,2
5/18/2018,152321,35000,40,1,F,1,1,1,4,2,3
5/18/2018,152322,100000,32,2,F,1,4,1,1,1,4
5/21/2018,152323,20000,39,1,M,4,1,4,1,1,4
5/10/2018,152324,20000,43,1,F,4,3,4,2,5,3
5/13/2018,152331,25000,32,1,F,1,4,3,4,2,2
5/21/2018,152332,35000,34,0,F,1,3,2,5,1,3
5/16/2018,152333,50000,47,0,M,5,1,3,3,2,2
5/16/2018,152334,35000,45,0,M,3,2,2,4,3,2
5/12/2018,152335,35000,43,0,F,3,1,2,5,4,5
5/19/2018,152336,20000,38,0,F,5,4,1,2,5,4
5/15/2018,152337,40000,36,0,M,5,2,3,4,2,3
5/11/2018,152338,45000,40,0,M,3,1,5,5,3,2
5/12/2018,152339,35000,27,1,F,1,2,3,1,2,5
5/18/2018,152340,45000,33,1,M,5,3,1,1,2,2
5/24/2018,152341,25000,21,1,M,1,5,4,5,3,2
5/17/2018,152342,25000,37,0,M,3,2,1,5,3,3
5/12/2018,152343,90000,20,1,M,3,4,2,5,5,3
5/24/2018,152351,35000,33,0,M,5,2,5,3,2,3
5/17/2018,152352,30000,43,0,M,3,5,2,5,1,2
5/14/2018,152353,35000,31,0,M,4,3,1,4,3,5
5/20/2018,152354,25000,43,0,M,1,4,3,5,5,2
5/17/2018,152355,35000,32,1,F,4,5,1,5,2,1
5/21/2018,152356,20000,43,0,F,2,2,4,4,2,1
5/21/2018,152357,25000,38,0,M,2,1,1,2,1,3
5/12/2018,152358,15000,37,1,M,1,4,3,5,4,4
5/24/2018,152359,25000,31,1,M,1,4,2,2,4,1
5/23/2018,152360,100000,38,1,F,3,5,4,1,2,3
5/24/2018,152361,45000,42,1,F,5,5,2,1,2,3
5/22/2018,152362,40000,49,0,F,1,4,2,1,5,5
5/20/2018,152363,20000,51,0,M,3,1,4,4,4,3
5/12/2018,152364,35000,39,1,M,2,5,1,5,2,4
5/16/2018,152365,40000,55,2,M,2,4,2,5,3,2
5/14/2018,152366,35000,34,0,F,1,1,3,1,4,3
5/14/2018,152367,55000,24,0,F,5,5,4,2,4,5
5/16/2018,152368,35000,31,0,M,3,2,5,2,2,4
5/12/2018,152375,35000,33,0,F,3,2,3,3,1,4
